image_id	label
1	1
1006	1
1014	0
1016	1
102	0
1028	0
1029	0
1030	0
1033	0
1034	0
1039	0
1040	0
1048	1
105	0
1055	0
1056	1
1059	1
106	1
1060	0
1095	1
1107	1
1108	0
111	1
1113	0
1120	1
1132	1
1134	0
1147	1
1148	0
1155	1
1160	0
1162	0
1172	0
1175	0
1177	0
1180	0
1185	1
1192	0
1198	0
1200	1
1202	1
1205	0
1206	1
1210	1
1216	0
1227	0
123	0
1237	1
1239	1
124	0
1244	1
1248	1
1253	0
1256	0
127	0
1274	1
1281	1
1282	0
1288	0
129	1
1299	1
130	0
1304	1
1307	1
1312	0
133	0
1333	0
1336	0
1342	0
135	0
1353	0
1354	0
1361	0
1374	1
1384	0
139	0
1394	0
1396	0
1402	0
1414	1
1417	1
1419	1
142	0
1423	0
143	1
1434	1
1446	0
1449	0
1465	0
1467	0
147	0
1474	0
1477	0
1480	0
1482	1
1500	1
1504	1
1510	1
1519	0
1524	0
1525	1
1533	0
1535	1
1537	1
1547	1
1549	1
1550	1
1557	1
1561	0
1566	1
1575	1
1582	1
1591	0
1593	0
1595	0
16	0
160	1
1600	0
1601	0
1604	1
1609	0
161	1
1615	0
1619	0
1625	1
1627	0
164	0
1641	0
165	1
1657	1
1658	1
1664	0
1669	0
1670	1
1671	0
1678	1
1680	1
1687	1
1689	1
1696	0
1698	0
1702	0
1708	0
1712	1
1714	1
1716	0
1719	1
1722	1
1728	0
1729	0
1730	1
1736	0
1737	0
1752	0
1755	1
1757	0
1759	1
1762	1
177	1
1777	1
1788	1
1791	0
1796	0
1799	0
1800	0
1801	1
1811	1
1816	0
1818	0
1826	0
183	1
1835	1
1837	0
1841	1
1853	0
1854	0
186	1
1860	0
1861	1
1864	1
1869	0
1875	1
1881	0
1889	1
1891	0
190	0
1902	0
1906	0
1911	1
1914	0
1919	1
1921	1
1926	1
193	0
1936	1
1941	0
1942	1
1945	0
1946	0
1947	0
1952	0
1953	1
1956	0
1957	1
1966	0
1967	1
1970	0
1972	0
1973	1
1974	1
198	0
