image_id,label
2,1
14,1
15,1
19,1
23,1
26,1
32,1
33,1
35,0
52,1
53,1
76,1
89,1
92,1
95,1
96,1
102,1
105,1
110,1
114,1
116,1
142,1
150,1
152,1
159,1
168,1
172,1
178,1
184,1
188,1
194,1
196,1
197,1
199,1
203,1
214,1
216,1
219,1
220,1
223,1
226,0
227,1
232,0
245,1
249,1
252,1
253,1
258,1
260,1
270,1
275,1
291,1
293,1
294,1
304,1
307,1
318,1
334,1
341,1
342,1
349,1
359,1
369,0
371,1
377,1
383,0
384,1
394,1
404,1
417,1
422,1
426,1
433,1
434,1
439,0
446,0
447,1
462,0
467,0
470,1
471,0
472,1
480,1
487,1
494,1
497,0
498,1
505,1
509,0
510,1
519,0
524,0
538,0
556,1
569,0
570,1
571,0
575,1
579,0
588,0
595,0
607,0
619,1
620,1
628,1
634,1
635,1
639,1
643,0
650,0
654,1
656,0
659,1
661,1
670,1
671,1
674,1
675,0
676,1
677,0
686,1
689,0
691,1
698,1
712,0
719,1
724,0
744,0
752,0
759,0
762,1
763,1
771,1
777,0
799,1
800,1
802,1
803,1
805,1
809,0
814,0
821,1
825,0
844,0
846,0
847,1
849,0
856,1
857,1
859,1
860,1
863,1
864,1
875,1
887,1
893,1
902,0
903,1
905,1
912,0
923,1
927,1
936,0
944,1
953,0
960,1
968,1
972,0
974,1
980,0
981,1
984,1
993,1
997,1
998,1
1002,1
1009,1
1012,1
1015,1
1016,0
1017,1
1023,0
1028,1
1032,1
1033,1
1038,0
1040,1
1041,0
1042,1
1044,1
1066,1
1080,1
1085,1
1107,0
1111,0
1115,1
1119,0
1123,1
1124,0
1125,1
1131,0
1142,0
1144,0
1148,0
1151,0
1157,0
1159,1
1162,1
1170,1
1171,1
1180,1
1188,1
1191,1
1198,0
1205,0
1220,1
1233,0
1236,1
1240,1
1241,0
1244,1
1251,0
1257,1
1260,0
1264,1
1266,0
1269,1
1280,0
1281,0
1287,1
1294,1
1301,0
1317,0
1322,0
1347,0
1353,0
1354,0
1356,1
1358,0
1359,0
1360,1
1364,0
1369,1
1370,0
1371,0
1380,1
1390,0
1392,0
1393,0
1396,0
1399,0
1404,0
1410,0
1414,0
1422,0
1424,1
1433,1
1434,1
1435,0
1441,0
1451,1
1453,0
1475,0
1480,1
1496,1
1543,1
1549,0
1550,1
1553,0
1564,0
1570,1
1575,0
1586,0
1587,0
1590,1
1591,0
1594,0
1603,0
1611,1
1613,0
1615,0
1616,0
1618,0
1619,0
1622,1
1624,1
1626,1
1633,0
1641,0
1649,0
1657,0
1661,0
1664,0
1669,0
1672,0
1680,1
1689,0
1693,1
1695,0
1710,0
1713,0
1716,0
1720,1
1723,1
1728,1
1741,0
1744,0
1748,0
1753,0
1760,0
1764,0
1765,1
1781,0
1785,1
1789,0
1792,1
1793,0
1794,0
1797,0
1799,0
1802,0
1813,0
1826,0
1834,0
1847,1
1864,0
1869,0
1871,0
1872,0
1875,1
1888,1
1895,1
1896,1
1897,0
1917,1
1920,0
1921,0
1922,0
1927,0
1931,1
1940,1
1942,0
1943,1
1959,0
1961,1
1970,0
1975,0
1982,0
1985,0
2016,0
2023,0
2025,0
2026,0
2039,0
2042,1
2048,0
2052,0
2064,0
2072,1
2076,0
2079,0
2088,0
2093,1
2105,0
2106,0
2112,0
2127,1
2137,0
2140,0
2145,1
2153,0
2154,0
2162,0
2165,0
2178,0
2187,0
2193,0
2194,1
2195,0
2201,0
2207,0
2213,0
2215,0
2218,0
2223,0
2229,0
2230,1
2233,0
2238,0
2242,0
2249,0
2258,0
2261,0
2275,0
2283,0
2288,1
2316,0
2317,0
2318,0
2326,0
2329,1
2331,0
2343,0
2344,0
2351,0
2354,0
2373,0
2384,0
2389,0
2392,0
2396,0
2397,0
2403,0
2404,0
2407,0
2408,0
2419,0
2424,0
2427,0
2431,1
2434,0
2443,0
2446,0
2447,0
2452,1
2461,0
2464,0
2465,0
2466,0
2467,0
2469,1
2473,0
2475,0
2476,0
2477,0
2482,0
2485,1
2490,0
2494,1
2499,0
2505,0
2507,0
2517,0
2518,0
2525,0
2530,0
2537,1
2542,1
2545,0
2546,0
2555,0
2561,0
2564,0
2573,0
2580,0
2593,0
2600,0
2603,0
2616,1
2621,0
2635,0
2636,0
2638,0
2641,0
2642,0
2648,0
2650,0
2652,0
2659,1
2666,0
2669,0
2670,0
2697,0
2701,0
2718,0
2725,0
2729,0
2736,0
2745,0
2753,0
2756,0
2758,0
2760,1
2768,0
2769,0
2773,0
2774,0
2776,1
2792,0
2794,0
2795,0
2813,1
2815,0
2819,1
2828,0
2830,0
2834,0
2837,0
2840,0
2842,0
2845,0
2846,0
2850,0
2871,0
2885,0
2887,0
2891,0
2892,0
