image_id,label
2,1
14,1
15,1
19,1
23,1
26,0
32,1
33,1
35,0
52,1
53,1
76,1
89,1
92,1
95,1
96,1
102,0
105,1
110,1
114,1
116,1
142,0
150,1
152,0
159,0
168,0
172,1
178,0
184,0
188,1
194,0
196,1
197,1
199,1
203,1
214,1
216,1
219,1
220,0
223,1
226,1
227,1
232,1
245,1
249,0
252,0
253,1
258,1
260,1
270,1
275,1
291,0
293,1
294,1
304,1
307,0
318,1
334,1
341,1
342,0
349,1
359,1
369,1
371,1
377,1
383,1
384,0
394,1
404,0
417,0
422,1
426,1
433,1
434,1
439,0
446,1
447,0
462,0
467,0
470,0
471,0
472,1
480,0
487,1
494,0
497,0
498,1
505,1
509,0
510,1
519,1
524,1
538,1
556,1
569,1
570,1
571,1
575,1
579,1
588,0
595,0
607,1
619,1
620,1
628,0
634,1
635,1
639,1
643,0
650,1
654,1
656,1
659,1
661,1
670,0
671,0
674,1
675,0
676,1
677,1
686,1
689,1
691,1
698,1
712,0
719,1
724,1
744,0
752,0
759,0
762,1
763,1
771,1
777,0
799,0
800,0
802,0
803,1
805,1
809,0
814,0
821,1
825,1
844,1
846,0
847,1
849,1
856,1
857,1
859,1
860,1
863,0
864,0
875,1
887,0
893,0
902,1
903,1
905,1
912,1
923,1
927,1
936,0
944,1
953,1
960,1
968,1
972,1
974,1
980,0
981,1
984,1
993,0
997,1
998,0
1002,1
1009,1
1012,1
1015,0
1016,0
1017,0
1023,0
1028,1
1032,1
1033,0
1038,0
1040,1
1041,0
1042,1
1044,1
1066,1
1080,1
1085,1
1107,0
1111,0
1115,1
1119,0
1123,1
1124,1
1125,1
1131,0
1142,0
1144,1
1148,0
1151,0
1157,1
1159,0
1162,1
1170,1
1171,1
1180,0
1188,0
1191,0
1198,1
1205,1
1220,0
1233,0
1236,0
1240,1
1241,1
1244,0
1251,1
1257,1
1260,0
1264,0
1266,1
1269,0
1280,1
1281,0
1287,0
1294,1
1301,0
1317,1
1322,1
1347,0
1353,0
1354,1
1356,0
1358,0
1359,1
1360,1
1364,0
1369,0
1370,1
1371,0
1380,1
1390,1
1392,1
1393,0
1396,0
1399,0
1404,1
1410,0
1414,0
1422,1
1424,0
1433,0
1434,1
1435,0
1441,0
1451,1
1453,0
1475,0
1480,1
1496,0
1543,0
1549,0
1550,1
1553,1
1564,1
1570,1
1575,1
1586,0
1587,1
1590,1
1591,0
1594,1
1603,0
1611,0
1613,0
1615,0
1616,1
1618,1
1619,0
1622,1
1624,0
1626,0
1633,0
1641,0
1649,0
1657,1
1661,1
1664,1
1669,0
1672,0
1680,1
1689,0
1693,0
1695,1
1710,1
1713,1
1716,1
1720,0
1723,1
1728,1
1741,0
1744,0
1748,1
1753,0
1760,1
1764,1
1765,0
1781,0
1785,0
1789,0
1792,1
1793,0
1794,0
1797,0
1799,0
1802,1
1813,0
1826,0
1834,0
1847,1
1864,0
1869,0
1871,0
1872,0
1875,0
1888,1
1895,1
1896,1
1897,0
1917,1
1920,0
1921,0
1922,0
1927,0
1931,1
1940,0
1942,0
1943,0
1959,0
1961,0
1970,0
1975,0
1982,0
1985,0
2016,1
2023,0
2025,0
2026,0
2039,1
2042,0
2048,1
2052,0
2064,1
2072,1
2076,0
2079,0
2088,0
2093,0
2105,1
2106,1
2112,1
2127,0
2137,0
2140,0
2145,1
2153,0
2154,0
2162,0
2165,0
2178,0
2187,0
2193,0
2194,1
2195,0
2201,0
2207,0
2213,0
2215,0
2218,0
2223,1
2229,0
2230,0
2233,1
2238,0
2242,0
2249,0
2258,0
2261,1
2275,1
2283,1
2288,1
2316,1
2317,0
2318,0
2326,0
2329,1
2331,0
2343,1
2344,0
2351,0
2354,1
2373,0
2384,0
2389,0
2392,0
2396,0
2397,0
2403,0
2404,0
2407,0
2408,0
2419,0
2424,0
2427,1
2431,0
2434,0
2443,0
2446,0
2447,0
2452,1
2461,0
2464,1
2465,0
2466,1
2467,0
2469,1
2473,1
2475,0
2476,0
2477,1
2482,1
2485,0
2490,0
2494,1
2499,1
2505,0
2507,0
2517,0
2518,0
2525,0
2530,0
2537,0
2542,0
2545,0
2546,0
2555,1
2561,0
2564,1
2573,0
2580,0
2593,0
2600,1
2603,0
2616,1
2621,1
2635,0
2636,0
2638,0
2641,0
2642,0
2648,0
2650,0
2652,0
2659,1
2666,0
2669,1
2670,1
2697,0
2701,0
2718,1
2725,0
2729,0
2736,0
2745,0
2753,0
2756,0
2758,1
2760,0
2768,0
2769,0
2773,0
2774,0
2776,0
2792,0
2794,0
2795,0
2813,1
2815,0
2819,0
2828,1
2830,1
2834,1
2837,1
2840,0
2842,0
2845,0
2846,0
2850,0
2871,0
2885,0
2887,1
2891,1
2892,0
